web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583621146-4642","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","سمو أمير منطقة المدينة المنورة يدشن #مدينة_طيبة_التعليمية_للتربية_الخاصة، بحضور معالي #وزير_التعليم.pic.twitter.com/mBWbnyyZgS","20","406","244","1575834716000","11:51 AM - 8 Dec 2019","/moe_gov_sa/status/1203764164013043715"
"1583621146-4319","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@Alqunfudah1","ثانويةالملك عبدالله بن عبدالعزيز الرائدة بالقنفذة","تلقى قائد ثانوية الملك عبدالله بن عبدالعزيز الرائدة بالقنفذة 
 أ / أحمد بن عبدالرحمن باوهاب خطاب شكر وتقدير من صاحب السمو الملكي نائب أمير منطقة مكة المكرمة الأمير بدر بن سلطان بن عبدالعزيز وذلك نظير جهوده في إنجاح مبادرة(رجل الامن انت صديقي)@Media_M_E @moe_gov_sa pic.twitter.com/SU7pMa8dzb","10","15","32","1577532857000","3:34 AM - 28 Dec 2019","/Alqunfudah1/status/1210886684843397120"
"1583621146-4822","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@assiredu","تعليم عسير","اعتمد المدير العام للتعليم في منطقة #عسير  أ . سعد الجوني ، خطة الاحتفال بذكرى البيعة الخامسة لتولي #خادم_الحرمين_الشريفين  الملك #سلمان_بن_عبدالعزيز  مقاليد الحكم، على مستوى الإدارة والمكاتب والمدارس.
#تعليم_عسير 
#ذكرى_البيعة_الخامسة 
@moe_gov_sa
@minister_moe_sapic.twitter.com/iBbhufU4QS","109","383","400","1574884334000","11:52 AM - 27 Nov 2019","/assiredu/status/1199777974360387584"
"1583621146-5262","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@TGIF90","Ifly","رجعو سفير الاول مستغنين عن هالتحسينات الجديده راضييين بالاول","","","","1572566757000","5:05 PM - 31 Oct 2019","/TGIF90/status/1190057352743002112"
"1583621146-4911","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","صدر قرار معالي نائب #وزير_التعليم الدكتور عبدالرحمن العاصمي بتمديد  تكليف الدكتور سامي بن غازي العتيبي مساعدًا  للمدير العام للشؤون التعليمية- بنين- ب #تعليم_الشرقية
أجمل التبريكات، وأصدق الدعوات .
@moe_gov_sa
@Media_M_Epic.twitter.com/WqucGy1RxO","28","66","60","1574348202000","6:56 AM - 21 Nov 2019","/edueast_sa/status/1197529275198582786"
"1583621146-4351","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@aburasha58","محمد أحمد الألمعي","لله درك أيها الإداري..

فلا سائل يسأل عنك

ولا مهتم يهتم لأمرك","33","50","56","1577213685000","10:54 AM - 24 Dec 2019","/aburasha58/status/1209547981508227072"
"1583621146-4528","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
#وزير_التعليم يلتقي مدير عام التربية والمهارات في الـ OECD د.أندرياس شلايشر.pic.twitter.com/vbDiW7Nst4","41","643","387","1576521223000","10:33 AM - 16 Dec 2019","/moe_gov_sa/status/1206643586193920000"
"1583621146-4898","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@drsamia","Prof Samia Al-Amoudi بروفيسور د سامية العمودي","بعض من وصل لسن التقاعد من الأطباء يمتلك القدرة الصحية والرغبة النفسية على العطاء والإستمرار في العمل عشقاً في العمل الأكاديمي والإكلينيكي فالممارسة الطبية لا تتوقف لذا تمديد سن التقاعد حل جميل لهذه الشريحة وخدمة للمجتمع والوطن @moe_gov_sa @minister_moe_sa","7","26","38","1574395971000","8:12 PM - 21 Nov 2019","/drsamia/status/1197729632751149056"
"1583621146-4422","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@meso202015","ابداع معلمه 🌟 创意老师.","الاستعداد للاختبارات وتهيئة المكان المناسب
لطلابنا(الطفولة المبكرة)&ثالث،بنين
وفقهم الله
@moe_gov_sa @Media_M_E @tabuk_edu @oihm1 @minister_moe_sa @mnk_iq8 @tabukkids1 
#تعليم_تبوكpic.twitter.com/GcG3UL502N","1","7","20","1576959038000","12:10 PM - 21 Dec 2019","/meso202015/status/1208479913562509312"
"1583621146-4512","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@makkahnp","صحيفة مكة","هل تمنح لائحة التعليم المشرف المكلف مميزات بلا جهد؟

http://bit.ly/2EpU3ak 
@moe_gov_sa
@SaudiMCS 
#وزارة_التعليم
#الخدمة_المدنية
#صحيفة_مكةpic.twitter.com/LCFXQL7dmE","33","146","117","1576580461000","","/makkahnp/status/1206892047732482054"
