web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583618751-1906","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@SusanAlhinty","Susan AlHinty","Al-Farris students should be proud that they are the recipients of such advanced high-level education in such a well-developed school.","","","2","1552924839000","9:00 AM - 18 Mar 2019","/SusanAlhinty/status/1107673177164038150"
"1583618751-1798","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@makkah_edu","إدارة تعليم مكة","فرسان #تعليم_مكة يتأهلون لنهائي المسابقة الوطنية الثقافية الكبرى #فرسان_التعليم وذلك بعد تغلبهم على فرسان #تعليم_الطائف بنتيجة 31 نقطة مقابل 25 نقطة 
 #قناة_عين  
#مكة_الطائف
@iEN_tv 
@moe_gov_sa pic.twitter.com/yFTEVGrOcN","13","26","46","1554145439000","12:03 PM - 1 Apr 2019","/makkah_edu/status/1112792744836165634"
"1583618751-1641","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزارة_التعليم تؤكد استمرار العمل بالحوافز المعتمدة للمعلمين والمعلمات
https://www.moe.gov.sa/ar/news/Pages/h-w-547e.aspx …pic.twitter.com/I4U2GjIEpL","183","766","633","1555412102000","3:55 AM - 16 Apr 2019","/moe_gov_sa/status/1118105512158142465"
"1583618751-1677","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","تستهدف طلاب وطالبات المرحلتين الابتدائية والمتوسطة..
انطلاق #الاختبارات_المركزية في مدارس التعليم العام الحكومي والأهلي.. غداً
https://www.moe.gov.sa/ar/news/Pages/t-m-2019-r-1.aspx …pic.twitter.com/tGICT4rrYu","111","646","381","1555141107000","12:38 AM - 13 Apr 2019","/moe_gov_sa/status/1116968878834319360"
"1583618751-1539","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@SM_ENGLISH","Soad Mizher","So proud of this accomplishment
Thank you @moe_gov_sa @Microsoft_Saudi @MicrosoftEDU #E2 #MIEExpert pic.twitter.com/Zhh1xTUxZ5","","1","2","1555995961000","","/SM_ENGLISH/status/1120554395949850624"
"1583618751-1907","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@PMU_KSA","PMU","The @pmuofficial Global Engagement office is pleased to announce a new business initiative with @NAU #USA pledging to increase both institutions study abroad participation & programming #KSA #studyabroad #GlobalGoals #University #travel #Vision2030 @moe_gov_sa pic.twitter.com/cH1ZPpCM76","","4","4","1552908902000","4:35 AM - 18 Mar 2019","/PMU_KSA/status/1107606333052936192"
"1583618751-1591","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@aljoodah280","قياس الأداء بتعليم عنيزة","بحمد الله وتوفيقه نفذ #تعليم_عنيزة #الاختبارات_المركزية على المراحل المستهدفة بنسبة 98.1٪ ..
شكراً لكل من تابع معنا العمل  فنحن نعمل معاً نحو رؤية مستقبلية لجيلٍ طموح .

@onaizahedu 
@moe_gov_sa pic.twitter.com/9azcpCjsUt","3","17","10","1555600987000","8:23 AM - 18 Apr 2019","/aljoodah280/status/1118897755362033664"
"1583618751-1807","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#نائب_وزير_التعليم يفتتح لقاء قادة التعليم في عنيزه.. ويدشن مشاريعاً تعليمية 
https://www.moe.gov.sa/ar/news/Pages/o-n--2019-58.aspx …pic.twitter.com/bsawqsvPDC","24","128","109","1553963761000","9:36 AM - 30 Mar 2019","/moe_gov_sa/status/1112030729322401792"
"1583618751-1782","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@KateStewart22","Kate Stewart","Ameen Ya Rabb","1","","1","1554242709000","3:05 PM - 2 Apr 2019","/KateStewart22/status/1113200722152181760"
"1583618751-1808","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@halkadi","حمد القاضي","""الناس شهود الله بأرضه""
 معالي #أ_نورة_الفايز نائبة وزير التعليم السابقة بلغ من تفاعلوا مع دعوتي لتكريمها أكثر من  35 ألف  خلال وقت قصير ما بين قراءة وثناء عليها وتأييد  لتكريمها  
 بقي تكريم وزارة التعليم لها فهي تستحق فعلا    
@moe_gov_sa pic.twitter.com/let2t9OPW2","5","13","12","1553962061000","9:07 AM - 30 Mar 2019","/halkadi/status/1112023600947699718"
"1583618751-1615","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@AnEnglishteach6","Abdulmohsen Alyami","You are that an English language teacher who we feed our minds from him.","1","1","3","1555502637000","5:03 AM - 17 Apr 2019","/AnEnglishteach6/status/1118485244498280450"
"1583618751-1614","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@DrAyidhAlawni","د.عايض الخمشي DrAyidh Alkomashi","#se2 تشرفت بتقديم محاضرة  في المنتدى السعودي الأول لتبادل الخبرات بالتعاون مع ميكروسوفت بعنوان (توظيف التعلم الرقمي لبناء المعرفة). @moe_gov_sa شكرا لسعادة وكيل الوزارة للوكالة الاداء التعليمي @Edu_Performanceولسعادة الدكتور محمد العنزي مدير وحدة التحول الرقمي في وزارة التعليم . pic.twitter.com/1Cad35uvtC","20","23","31","1555502862000","5:07 AM - 17 Apr 2019","/DrAyidhAlawni/status/1118486188841680896"
