web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583861089-6266","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@Kampooter","𝑺𝒑𝒂𝒄𝒆-𝒌𝒂𝒎","Let's goooooooooo!!!!!!  @moe_gov_sa pic.twitter.com/zIg0FWL5u2","","","","1583692623000","11:37 AM - 8 Mar 2020","/Kampooter/status/1236722615638790144"
"1583861089-6340","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@Amjadqurtopa1","إبتدائيةأمجاد قرطبة بنين","my dream is to become a merchant , my school gave me the opportunity to fulfill that dream.
@aqis_school2
@AQS_School
@qortobhEDU
@nashatkk
@ALNashat_R
@moe_gov_sa
@Media_M_E
@A_p_education 
@FutureGate_sa
@riyadh_edu 
@QurtobaAmjadpic.twitter.com/hlzb3nfvk9","","","","1583393435000","11:30 PM - 4 Mar 2020","/Amjadqurtopa1/status/1235467732499550208"
"1583861089-6269","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@EstelaSCOTUS","Estela Bravo Soperanes 🍊","This Is What You Came For (Feat. Rihanna) by @CalvinHarris on @PandoraMusic https://pandora.app.link/IIwgz57HG4 

@MoeSuliman11 
@MojKsa @moe_gov_sa @MOI__911 @SaudiEmbassyUSA @KSAmofaEN @SaudiProject @media_ksa @Microsoft_Saudi @MoEnergy_Saudi @modgovksa @SaudiCustoms @VisitSaudiNow","","","7","1583672228000","5:57 AM - 8 Mar 2020","/EstelaSCOTUS/status/1236637074502987776"
"1583861089-6388","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
#وزارة_التعليم تنظم ورشة عمل لدراسة تقارير المنظمة الدولية OECD حول التعليم العام بالمملكة.pic.twitter.com/fA0SoQQTm9","30","341","291","1583251005000","7:56 AM - 3 Mar 2020","/moe_gov_sa/status/1234870334379241473"
"1583861089-6496","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","المساعد للشؤون التعليمية بـ #تعليم_الشرقية أ.فاطمة الفهيد تدشن معرض (تعلَّمي في إنتاجي)على مستوى المنطقة لأقسام (اللغة العربية -الرياضيات-العلوم) بهدف تعزيز القيم والمهارات الأساسية للطالبات، المقام بمدارس التربية الأهلية بالدمام.
@moe_gov_sa 
@Media_M_Epic.twitter.com/faXL57Fy61","","10","12","1583041829000","9:50 PM - 29 Feb 2020","/edueast_sa/status/1233992988394708992"
"1583861089-6507","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@AboBatt65624339","السهل الممتنـــع","الله يوفق و ييسر و يكتب النقل لمن يريد النقل عاجلاً في خير ، و يحفظ الجميع","","","","1583051586000","12:33 AM - 1 Mar 2020","/AboBatt65624339/status/1234033910473949185"
"1583861089-6449","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@osid57601","مدرسة أسيد بن حضير","محاضرة تدريبية للاختبار التحصيلي التجريبي
#مدرسة_أسيد_بن_حضير_الابتدائية
#مدرسة_عبدالله_بن_الزبير_المتوسطة
@Media_M_E @moe_gov_sa @ShrqEshraf @SaadAldarwish @eallam1 @Frajeh1pic.twitter.com/7brCgxCZX5","","1","2","1583044267000","10:31 PM - 29 Feb 2020","/osid57601/status/1234003214984454145"
"1583861089-6300","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@Aweme17","Al_zhrani Norah 🌱 📚 🇸🇦","Thanks for introducing Wakelet!
How to Organize the content ?As English teachers,we will be more care about organizing the content into collections can be easier.pic.twitter.com/H1yzTJDGRH","","1","1","1583476616000","10:36 PM - 5 Mar 2020","/Aweme17/status/1235816617063243776"
"1583861089-6544","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@saleh_almulhem","صالح الملحم","الله يكفينا شر كورونا","1","","","1583029788000","6:29 PM - 29 Feb 2020","/saleh_almulhem/status/1233942486382452738"
"1583861089-6344","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@Sara00542829","Sara 💙","#اصوات_كليات_التربيه_تنادي
يامفرج الكربات وقاضي الحاجات 
وسامع الدعوات فرج لي ولأخواتي 
@KingSalman 
@Badermasaker 
@kbsalsaud 
@HRHPSAUDS 
@minister_moe_sa 
@spokesp_moe 
@moe_gov_sa 
@SaudiMCS","","36","5","1583336730000","7:45 AM - 4 Mar 2020","/Sara00542829/status/1235229891555217408"
"1583861089-6336","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزارة_التعليم تطلق فعاليات #اليوم_الخليجي_للموهبة_والإبداع 2020
https://www.moe.gov.sa/ar/news/Pages/mw-2020-63.aspx …pic.twitter.com/kv6VivyQ4p","30","461","306","1583251548000","8:05 AM - 3 Mar 2020","/moe_gov_sa/status/1234872612762898432"
