web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583620629-3618","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@Aldawood_PhD","ابراهيم بن داود الداود","بمشاركة قيادات جامعة الملك سعود وقيادات وزارة التعليم والتربويين من قيادات مدرسية ومشرفين ومعلمين، تحول احتفال كلية التربية باليوم العالمي للمعلم إلى تظاهرة ثقافية. المعلمون والمعلمات يستحقون هذا وأكثر. #اليوم_العالمي_للمعلم  
@moe_gov_sa @mohe_sa 
@ncepd_edupic.twitter.com/wQ1tLMXRVx","1","12","10","1570108160000","6:09 AM - 3 Oct 2019","/Aldawood_PhD/status/1179745248420990976"
"1583620629-4183","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@Btq1_schoolll","ب تق ١","جانب من استقبال الطالبات وتوزيع الكتب أمس الأحد ٢ / ١ / ١٤٤١ هـ #الأسبوع_التمهيدي
#معا_نبدأ 
@E3lam_janob 
@moe_gov_sa 
@riyadh_edu 
@media_ksa
 @Media_M_E
@Tallumnewspic.twitter.com/1UQ41hBmLs","","7","13","1567443666000","10:01 AM - 2 Sep 2019","/Btq1_schoolll/status/1168569551308632066"
"1583620629-3372","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@e3lam_trbwe","الإعلام والاتصال_القريات","القريات تحصد المركز الأول في #تمكن
#صحيفة_الوطن
@moe_gov_sa @guriatedu_gov @Media_M_Epic.twitter.com/KzHZHOcDT2","1","31","16","1571399377000","4:49 AM - 18 Oct 2019","/e3lam_trbwe/status/1185161003979411456"
"1583620629-3695","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@nabilaldosoky","Nabil","Perfect","","","","1569591230000","6:33 AM - 27 Sep 2019","/nabilaldosoky/status/1177577086619439104"
"1583620629-4191","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@azzouzgold","محمد عزوز","رحمة بلأمهات وتوفير للمياه,,
تغير الزي المدرسي في المرحلة الابتدائية،،،
امر ضروري يامعالي الوزير ،،
@moe_gov_sa
@minister_moe_sa
@abajannapic.twitter.com/EsUIy8yBo1","11","17","47","1567428399000","5:46 AM - 2 Sep 2019","/azzouzgold/status/1168505516831760390"
"1583620629-3680","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@modbinabdulwah2","ابتدائية محمد بن عبدالوهاب","المرشد الطلابي بمدرسة محمد بن عبد الوهاب
الأستاذ / ضيف الله العمري
يفتتح فعاليات برنامج رفق الإرشادي للحد من العنف في مدارسنا 
والتي ستقام في الفترة من الأحد ٣٠ محرم وحتى الخميس ٤صفر.
 #رفق_في_مدارسنا_1441
#الإدارة_العامة_للإرشاد_الطلابي
@moe_gov_sa 
@namasedu 
@E3lam2030namaspic.twitter.com/cpGcXxS20f","","5","7","1569746231000","1:37 AM - 29 Sep 2019","/modbinabdulwah2/status/1178227206142738432"
"1583620629-3808","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","#همة_حتى_القمة #همة_التعليم_قمة_للوطن 
#تعليم_الشرقية 
@moe_gov_sa
@Media_M_E

لنا مجد ورؤية .. لنا حلم وطموح
لنا ماضٍ عريق .. لنا مستقبل مُلهم
بقيمنا  الوطنية  المؤسسية  نسمو 
كل  عام  و  وطننا  يعانق  السماء .pic.twitter.com/eVwg771Ywy","","19","9","1569173753000","","/edueast_sa/status/1175826061688524800"
"1583620629-4076","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@alazhSchool","مدرستا التوأمة العزة والخورم","مجموعة الصفوف الأولية المهنية بمدرستي التوأمة العزة والخورم تعقد اجتماعها الأول . شارك قائد المدرسة المجموعة بكلمة توجيهية في بداية الاجتماع حول عمل المجموعة لتحقيق الهدف المنشود : ( رفع مستوى تحصيل الطلاب الدراسي)  .
#وزارة_التعليم 
@aldayeredu 
@moe_gov_sa 
@minister_moe_sapic.twitter.com/S67QbMHgsB","","5","9","1567995871000","7:24 PM - 8 Sep 2019","/alazhSchool/status/1170885667573903360"
"1583620629-3605","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@OKAZ_online","صحيفة عكاظ","#فيديو | يوم الأحد القادم.. «عكاظ» تنشر حوار موسع مع #وزير_التعليم .. الدكتور حمد آل الشيخ يقلب أوراق الكرسي الساخن ويكشف ملامح تطوير #التعليم

#عكاظ 
@moe_gov_sa
@minister_moe_sa
http://www.okaz.com.sa pic.twitter.com/VTm1Tpoxk5","27","299","152","1570213014000","11:16 AM - 4 Oct 2019","/OKAZ_online/status/1180185037343510528"
"1583620629-3411","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@qunedu","تعليم القنفذة","مبدعون|
الطالب على سالم السهيمي من مدرسة الأندلس بـ @ordyah ممثلاً لـ #تعليم_القنفذة في #أولمبياد_اللغة_العربية على مستوى المملكة بعد حصوله على المركز الأول على مستوى إدارة التعليم
وهنا يبعث رسالة شكر لمعلميه ويعد بتقديم الأجمل قريبآ دعواتنا له بالتوفيق
@moe_gov_sa
@Media_M_Epic.twitter.com/vFTFknJUSV","5","19","36","1571132669000","2:44 AM - 15 Oct 2019","/qunedu/status/1184042349292376064"
